### OUTPUT ###
ID#111 : time : 26, Operation : random-crossover, fitness : -1.0
ID#112 : time : 26, Operation : random-crossover, fitness : -1.0
ID#113 : time : 85, Operation : replace, fitness : -1.0
ID#114 : time : 75, Operation : delete, fitness : -1.0
ID#115 : time : 1048, Operation : delete, fitness : -1.0
ID#116 : time : 114, Operation : insert_after, fitness : -1.0
ID#117 : time : 82, Operation : replace, fitness : -1.0
ID#118 : time : 890, Operation : random-crossover, fitness : -1.0
ID#119 : time : 905, Operation : random-crossover, fitness : 0.969696969697
ID#120 : time : 53, Operation : delete, fitness : -1.0
ID#121 : time : 154, Operation : insert_before, fitness : -1.0
ID#122 : time : 32, Operation : insert_before, fitness : -1.0
ID#123 : time : 94, Operation : insert_before, fitness : -1.0
ID#124 : time : 0, Operation : insert_after, fitness : -1.0
ID#125 : time : 39, Operation : random-crossover, fitness : 0.969696969697
ID#126 : time : 26, Operation : random-crossover, fitness : 0.969696969697
ID#127 : time : 73, Operation : insert_before, fitness : -1.0
ID#128 : time : 429, Operation : delete, fitness : 0.969696969697
ID#129 : time : 79, Operation : replace, fitness : -1.0
ID#130 : time : 364, Operation : replace, fitness : 0.969696969697
ID#131 : time : 33, Operation : insert_before, fitness : -1.0
ID#132 : time : 67, Operation : random-crossover, fitness : -1.0
ID#133 : time : 67, Operation : random-crossover, fitness : 0.969696969697
ID#134 : time : 93, Operation : replace, fitness : -1.0
ID#135 : time : 100, Operation : insert_before, fitness : -1.0
ID#136 : time : 523, Operation : delete, fitness : 0.969696969697
ID#137 : time : 87, Operation : replace, fitness : -1.0
ID#138 : time : 137, Operation : delete, fitness : -1.0
ID#139 : time : 44, Operation : random-crossover, fitness : -1.0
ID#140 : time : 42, Operation : random-crossover, fitness : -1.0
ID#141 : time : 95, Operation : delete, fitness : -1.0
ID#142 : time : 95, Operation : delete, fitness : -1.0
ID#143 : time : 61, Operation : replace, fitness : -1.0
ID#144 : time : 13, Operation : insert_before, fitness : -1.0
ID#145 : time : 714, Operation : replace, fitness : -1.0
ID#146 : time : 549, Operation : random-crossover, fitness : 0.969696969697
ID#147 : time : 537, Operation : random-crossover, fitness : -1.0
ID#148 : time : 87, Operation : insert_before, fitness : -1.0
ID#149 : time : 44, Operation : delete, fitness : -1.0
ID#150 : time : 0, Operation : insert_before, fitness : -1.0
ID#151 : time : 43, Operation : insert_after, fitness : -1.0
ID#152 : time : 89, Operation : replace, fitness : -1.0
ID#153 : time : 32, Operation : random-crossover, fitness : -1.0
ID#154 : time : 27, Operation : random-crossover, fitness : -1.0
ID#155 : time : 106, Operation : replace, fitness : -1.0
ID#156 : time : 57, Operation : delete, fitness : -1.0
ID#157 : time : 57, Operation : delete, fitness : -1.0
ID#158 : time : 399, Operation : delete, fitness : 0.924242424242
ID#159 : time : 93, Operation : insert_after, fitness : -1.0
ID#160 : time : 44, Operation : random-crossover, fitness : -1.0
ID#161 : time : 14, Operation : random-crossover, fitness : -1.0
ID#162 : time : 489, Operation : delete, fitness : 0.984848484848
ID#163 : time : 42, Operation : delete, fitness : -1.0
ID#164 : time : 399, Operation : delete, fitness : 0.984848484848
ID#165 : time : 0, Operation : insert_after, fitness : -1.0
ID#166 : time : 78, Operation : insert_before, fitness : -1.0
ID#167 : time : 27, Operation : random-crossover, fitness : 0.969696969697
ID#168 : time : 28, Operation : random-crossover, fitness : -1.0
ID#169 : time : 95, Operation : replace, fitness : -1.0
ID#170 : time : 98, Operation : replace, fitness : -1.0
ID#171 : time : 990, Operation : delete, fitness : 0.969696969697
ID#172 : time : 667, Operation : delete, fitness : -1.0
ID#173 : time : 95, Operation : delete, fitness : -1.0
ID#174 : time : 523, Operation : random-crossover, fitness : -1.0
ID#175 : time : 515, Operation : random-crossover, fitness : -1.0
ID#176 : time : 76, Operation : insert_after, fitness : -1.0
ID#177 : time : 79, Operation : insert_after, fitness : -1.0
ID#178 : time : 1, Operation : insert_before, fitness : -1.0
ID#179 : time : 80, Operation : replace, fitness : -1.0
ID#180 : time : 103, Operation : delete, fitness : -1.0
ID#181 : time : 36, Operation : random-crossover, fitness : -1.0
ID#182 : time : 32, Operation : random-crossover, fitness : 0.984848484848
ID#183 : time : 96, Operation : replace, fitness : -1.0
ID#184 : time : 14, Operation : insert_after, fitness : -1.0
ID#185 : time : 246, Operation : replace, fitness : -1.0
ID#186 : time : 88, Operation : insert_after, fitness : -1.0
ID#187 : time : 93, Operation : insert_after, fitness : -1.0
ID#188 : time : 59, Operation : random-crossover, fitness : -1.0
ID#189 : time : 58, Operation : random-crossover, fitness : 0.984848484848
ID#190 : time : 95, Operation : insert_after, fitness : -1.0
ID#191 : time : 181, Operation : insert_after, fitness : -1.0
ID#192 : time : 188, Operation : replace, fitness : -1.0
ID#193 : time : 517, Operation : delete, fitness : 0.969696969697
ID#194 : time : 88, Operation : insert_before, fitness : -1.0
ID#195 : time : 28, Operation : random-crossover, fitness : -1.0
ID#196 : time : 93, Operation : random-crossover, fitness : -1.0
ID#197 : time : 112, Operation : insert_before, fitness : -1.0
ID#198 : time : 216, Operation : delete, fitness : -1.0
ID#199 : time : 121, Operation : delete, fitness : -1.0
ID#200 : time : 86, Operation : insert_before, fitness : -1.0
ID#201 : time : 139, Operation : delete, fitness : -1.0
ID#202 : time : 27, Operation : random-crossover, fitness : -1.0
ID#203 : time : 30, Operation : random-crossover, fitness : -1.0
ID#204 : time : 412, Operation : delete, fitness : 0.984848484848
ID#205 : time : 88, Operation : insert_before, fitness : -1.0
ID#206 : time : 43, Operation : delete, fitness : -1.0
ID#207 : time : 43, Operation : delete, fitness : -1.0
ID#208 : time : 120, Operation : insert_before, fitness : -1.0
ID#209 : time : 36, Operation : random-crossover, fitness : 0.984848484848
ID#210 : time : 14, Operation : random-crossover, fitness : -1.0
ID#211 : time : 551, Operation : delete, fitness : -1.0
ID#212 : time : 105, Operation : delete, fitness : -1.0
ID#213 : time : 469, Operation : delete, fitness : -1.0
ID#214 : time : 395, Operation : replace, fitness : 0.984848484848
ID#215 : time : 103, Operation : insert_after, fitness : -1.0
ID#216 : time : 65, Operation : random-crossover, fitness : -1.0
ID#217 : time : 63, Operation : random-crossover, fitness : -1.0
ID#218 : time : 121, Operation : delete, fitness : -1.0
ID#219 : time : 84, Operation : replace, fitness : -1.0
ID#220 : time : 103, Operation : replace, fitness : -1.0
ID#221 : time : 95, Operation : replace, fitness : -1.0
ID#222 : time : 568, Operation : replace, fitness : -1.0
ID#223 : time : 411, Operation : random-crossover, fitness : -1.0
ID#224 : time : 28, Operation : random-crossover, fitness : -1.0
ID#225 : time : 86, Operation : delete, fitness : -1.0
ID#226 : time : 564, Operation : delete, fitness : 0.969696969697
ID#227 : time : 21, Operation : insert_after, fitness : -1.0
ID#228 : time : 51, Operation : insert_after, fitness : -1.0
ID#229 : time : 94, Operation : insert_after, fitness : -1.0
ID#230 : time : 32, Operation : random-crossover, fitness : -1.0
ID#231 : time : 30, Operation : random-crossover, fitness : -1.0
ID#232 : time : 34, Operation : delete, fitness : -1.0
ID#233 : time : 102, Operation : replace, fitness : -1.0
ID#234 : time : 98, Operation : insert_after, fitness : -1.0
ID#235 : time : 99, Operation : delete, fitness : -1.0
ID#236 : time : 153, Operation : insert_after, fitness : -1.0
ID#237 : time : 28, Operation : random-crossover, fitness : -1.0
ID#238 : time : 13, Operation : random-crossover, fitness : -1.0
ID#239 : time : 103, Operation : insert_before, fitness : -1.0
ID#240 : time : 78, Operation : replace, fitness : -1.0
ID#241 : time : 116, Operation : replace, fitness : -1.0
ID#242 : time : 81, Operation : replace, fitness : -1.0
ID#243 : time : 102, Operation : replace, fitness : -1.0
ID#244 : time : 28, Operation : random-crossover, fitness : -1.0
ID#245 : time : 28, Operation : random-crossover, fitness : -1.0
ID#246 : time : 97, Operation : delete, fitness : -1.0
ID#247 : time : 495, Operation : delete, fitness : 0.984848484848
ID#248 : time : 96, Operation : replace, fitness : -1.0
ID#249 : time : 98, Operation : insert_before, fitness : -1.0
ID#250 : time : 35, Operation : insert_after, fitness : -1.0
ID#251 : time : 28, Operation : random-crossover, fitness : 0.984848484848
ID#252 : time : 29, Operation : random-crossover, fitness : -1.0
ID#253 : time : 94, Operation : insert_after, fitness : -1.0
ID#254 : time : 203, Operation : replace, fitness : -1.0
ID#255 : time : 540, Operation : delete, fitness : 0.969696969697
ID#256 : time : 685, Operation : replace, fitness : -1.0
ID#257 : time : 604, Operation : delete, fitness : -1.0
ID#258 : time : 571, Operation : random-crossover, fitness : 0.984848484848
ID#259 : time : 28, Operation : random-crossover, fitness : 0.984848484848
ID#260 : time : 104, Operation : delete, fitness : -1.0
ID#261 : time : 224, Operation : delete, fitness : -1.0
ID#262 : time : 58, Operation : insert_after, fitness : -1.0
ID#263 : time : 427, Operation : delete, fitness : 0.969696969697
ID#264 : time : 126, Operation : insert_after, fitness : -1.0
ID#265 : time : 27, Operation : random-crossover, fitness : 0.984848484848
ID#266 : time : 15, Operation : random-crossover, fitness : -1.0
ID#267 : time : 87, Operation : insert_before, fitness : -1.0
ID#268 : time : 204, Operation : delete, fitness : -1.0
ID#269 : time : 39, Operation : insert_after, fitness : -1.0
ID#270 : time : 408, Operation : delete, fitness : 0.969696969697
ID#271 : time : 119, Operation : insert_after, fitness : -1.0
ID#272 : time : 53, Operation : random-crossover, fitness : -1.0
ID#273 : time : 27, Operation : random-crossover, fitness : -1.0
ID#274 : time : 52, Operation : delete, fitness : -1.0
ID#275 : time : 105, Operation : insert_before, fitness : -1.0
ID#276 : time : 118, Operation : replace, fitness : -1.0
ID#277 : time : 440, Operation : delete, fitness : 0.939393939394
ID#278 : time : 98, Operation : replace, fitness : -1.0
ID#279 : time : 42, Operation : random-crossover, fitness : 0.984848484848
ID#280 : time : 28, Operation : random-crossover, fitness : -1.0
ID#281 : time : 113, Operation : replace, fitness : -1.0
ID#282 : time : 431, Operation : delete, fitness : 0.969696969697
ID#283 : time : 260, Operation : insert_before, fitness : -1.0
ID#284 : time : 117, Operation : insert_after, fitness : -1.0
ID#285 : time : 122, Operation : replace, fitness : -1.0
ID#286 : time : 34, Operation : random-crossover, fitness : -1.0
ID#287 : time : 32, Operation : random-crossover, fitness : -1.0
ID#288 : time : 116, Operation : replace, fitness : -1.0
ID#289 : time : 69, Operation : insert_before, fitness : -1.0
ID#290 : time : 49, Operation : insert_before, fitness : -1.0
ID#291 : time : 131, Operation : replace, fitness : -1.0
ID#292 : time : 46, Operation : delete, fitness : -1.0
ID#293 : time : 39, Operation : random-crossover, fitness : -1.0
ID#294 : time : 45, Operation : random-crossover, fitness : 0.984848484848
ID#295 : time : 27, Operation : delete, fitness : -1.0
ID#296 : time : 47, Operation : insert_before, fitness : -1.0
ID#297 : time : 114, Operation : replace, fitness : -1.0
ID#298 : time : 191, Operation : delete, fitness : -1.0
ID#299 : time : 86, Operation : insert_before, fitness : -1.0
ID#300 : time : 58, Operation : random-crossover, fitness : -1.0
ID#301 : time : 28, Operation : random-crossover, fitness : -1.0
ID#302 : time : 82, Operation : replace, fitness : -1.0
ID#303 : time : 57, Operation : delete, fitness : -1.0
ID#304 : time : 102, Operation : replace, fitness : -1.0
ID#305 : time : 42, Operation : insert_before, fitness : -1.0
ID#306 : time : 114, Operation : replace, fitness : -1.0
ID#307 : time : 14, Operation : random-crossover, fitness : -1.0
ID#308 : time : 31, Operation : random-crossover, fitness : -1.0
ID#309 : time : 115, Operation : insert_before, fitness : -1.0
ID#310 : time : 42, Operation : delete, fitness : -1.0
ID#311 : time : 44, Operation : replace, fitness : -1.0
ID#312 : time : 96, Operation : insert_before, fitness : -1.0
ID#313 : time : 53, Operation : delete, fitness : -1.0
ID#314 : time : 14, Operation : random-crossover, fitness : -1.0
ID#315 : time : 49, Operation : random-crossover, fitness : -1.0
ID#316 : time : 133, Operation : replace, fitness : -1.0
ID#317 : time : 400, Operation : delete, fitness : 0.969696969697
ID#318 : time : 434, Operation : delete, fitness : 0.984848484848
ID#319 : time : 25, Operation : insert_before, fitness : -1.0
ID#320 : time : 368, Operation : delete, fitness : 0.969696969697
ID#321 : time : 15, Operation : random-crossover, fitness : -1.0
ID#322 : time : 20, Operation : random-crossover, fitness : -1.0
ID#323 : time : 94, Operation : replace, fitness : -1.0
ID#324 : time : 43, Operation : insert_after, fitness : -1.0
ID#325 : time : 110, Operation : insert_before, fitness : -1.0
ID#326 : time : 44, Operation : delete, fitness : -1.0
ID#327 : time : 113, Operation : replace, fitness : -1.0
ID#328 : time : 26, Operation : random-crossover, fitness : -1.0
ID#329 : time : 29, Operation : random-crossover, fitness : -1.0
ID#330 : time : 57, Operation : delete, fitness : -1.0
ID#331 : time : 95, Operation : replace, fitness : -1.0
ID#332 : time : 49, Operation : insert_before, fitness : -1.0
ID#333 : time : 135, Operation : insert_after, fitness : -1.0
