### OUTPUT ###
ID#1 : time : 419, Operation : delete, fitness : -1.0
ID#2 : time : 196, Operation : delete, fitness : -1.0
ID#3 : time : 241, Operation : replace, fitness : -1.0
ID#4 : time : 19, Operation : delete, fitness : -1.0
ID#5 : time : 6, Operation : insert_after, fitness : -1.0
ID#6 : time : 2, Operation : insert_after, fitness : -1.0
ID#7 : time : 2, Operation : insert_before, fitness : -1.0
ID#8 : time : 796, Operation : delete, fitness : 0.984848484848
ID#9 : time : 110, Operation : delete, fitness : -1.0
ID#10 : time : 134, Operation : delete, fitness : -1.0
ID#11 : time : 129, Operation : insert_before, fitness : -1.0
ID#12 : time : 1535, Operation : delete, fitness : 0.939393939394
ID#13 : time : 929, Operation : insert_after, fitness : -1.0
ID#14 : time : 142, Operation : insert_after, fitness : -1.0
ID#15 : time : 813, Operation : insert_after, fitness : -1.0
ID#16 : time : 20, Operation : insert_after, fitness : -1.0
ID#17 : time : 96, Operation : replace, fitness : -1.0
ID#18 : time : 1718, Operation : insert_before, fitness : -1.0
ID#19 : time : 130, Operation : replace, fitness : -1.0
ID#20 : time : 1675, Operation : insert_after, fitness : -1.0
ID#21 : time : 151, Operation : delete, fitness : -1.0
ID#22 : time : 653, Operation : replace, fitness : 0.969696969697
ID#23 : time : 17, Operation : delete, fitness : -1.0
ID#24 : time : 108, Operation : insert_before, fitness : -1.0
ID#25 : time : 4, Operation : insert_after, fitness : -1.0
ID#26 : time : 61, Operation : delete, fitness : -1.0
ID#27 : time : 865, Operation : replace, fitness : -1.0
ID#28 : time : 49, Operation : insert_after, fitness : -1.0
ID#29 : time : 126, Operation : replace, fitness : -1.0
ID#30 : time : 169, Operation : replace, fitness : -1.0
ID#31 : time : 680, Operation : delete, fitness : 0.969696969697
ID#32 : time : 844, Operation : delete, fitness : 0.969696969697
ID#33 : time : 0, Operation : insert_before, fitness : -1.0
ID#34 : time : 21, Operation : insert_after, fitness : -1.0
ID#35 : time : 23, Operation : insert_before, fitness : -1.0
ID#36 : time : 23, Operation : delete, fitness : -1.0
ID#37 : time : 118, Operation : delete, fitness : -1.0
ID#38 : time : 92, Operation : insert_before, fitness : -1.0
ID#39 : time : 100, Operation : insert_before, fitness : -1.0
ID#40 : time : 781, Operation : delete, fitness : -1.0
ID#41 : time : 1550, Operation : random-crossover, fitness : -1.0
ID#42 : time : 1537, Operation : random-crossover, fitness : -1.0
ID#43 : time : 62, Operation : insert_before, fitness : -1.0
ID#44 : time : 14, Operation : insert_before, fitness : -1.0
ID#45 : time : 90, Operation : insert_after, fitness : -1.0
ID#46 : time : 66, Operation : replace, fitness : -1.0
ID#47 : time : 1048, Operation : delete, fitness : 0.969696969697
ID#48 : time : 69, Operation : random-crossover, fitness : -1.0
ID#49 : time : 36, Operation : random-crossover, fitness : -1.0
ID#50 : time : 14, Operation : insert_after, fitness : -1.0
ID#51 : time : 109, Operation : insert_after, fitness : -1.0
ID#52 : time : 96, Operation : insert_before, fitness : -1.0
ID#53 : time : 115, Operation : replace, fitness : -1.0
ID#54 : time : 139, Operation : insert_before, fitness : -1.0
ID#55 : time : 1086, Operation : random-crossover, fitness : 0.969696969697
ID#56 : time : 1072, Operation : random-crossover, fitness : -1.0
ID#57 : time : 73, Operation : replace, fitness : -1.0
ID#58 : time : 535, Operation : insert_after, fitness : 0.969696969697
ID#59 : time : 569, Operation : delete, fitness : 0.969696969697
ID#60 : time : 47, Operation : delete, fitness : -1.0
ID#61 : time : 31, Operation : insert_before, fitness : -1.0
ID#62 : time : 1100, Operation : random-crossover, fitness : -1.0
ID#63 : time : 1118, Operation : random-crossover, fitness : -1.0
ID#64 : time : 112, Operation : insert_before, fitness : -1.0
ID#65 : time : 125, Operation : delete, fitness : -1.0
ID#66 : time : 14, Operation : delete, fitness : -1.0
ID#67 : time : 0, Operation : insert_before, fitness : -1.0
ID#68 : time : 16, Operation : delete, fitness : -1.0
ID#69 : time : 604, Operation : random-crossover, fitness : -1.0
ID#70 : time : 611, Operation : random-crossover, fitness : 0.969696969697
ID#71 : time : 83, Operation : insert_after, fitness : -1.0
ID#72 : time : 215, Operation : delete, fitness : -1.0
ID#73 : time : 95, Operation : replace, fitness : -1.0
ID#74 : time : 96, Operation : replace, fitness : -1.0
ID#75 : time : 87, Operation : delete, fitness : -1.0
ID#76 : time : 10, Operation : random-crossover, fitness : -1.0
ID#77 : time : 30, Operation : random-crossover, fitness : -1.0
ID#78 : time : 89, Operation : insert_after, fitness : -1.0
ID#79 : time : 59, Operation : replace, fitness : -1.0
ID#80 : time : 58, Operation : delete, fitness : -1.0
ID#81 : time : 297, Operation : delete, fitness : 0.924242424242
ID#82 : time : 30, Operation : insert_before, fitness : -1.0
ID#83 : time : 10, Operation : random-crossover, fitness : -1.0
ID#84 : time : 18, Operation : random-crossover, fitness : 0.969696969697
ID#85 : time : 58, Operation : replace, fitness : -1.0
ID#86 : time : 75, Operation : replace, fitness : -1.0
ID#87 : time : 84, Operation : insert_before, fitness : -1.0
ID#88 : time : 26, Operation : insert_before, fitness : -1.0
ID#89 : time : 189, Operation : replace, fitness : -1.0
ID#90 : time : 42, Operation : random-crossover, fitness : 0.969696969697
ID#91 : time : 57, Operation : random-crossover, fitness : -1.0
ID#92 : time : 378, Operation : replace, fitness : 0.924242424242
ID#93 : time : 306, Operation : delete, fitness : 0.924242424242
ID#94 : time : 72, Operation : replace, fitness : -1.0
ID#95 : time : 9, Operation : delete, fitness : -1.0
ID#96 : time : 59, Operation : insert_before, fitness : -1.0
ID#97 : time : 30, Operation : random-crossover, fitness : -1.0
ID#98 : time : 20, Operation : random-crossover, fitness : -1.0
ID#99 : time : 69, Operation : insert_before, fitness : -1.0
ID#100 : time : 49, Operation : replace, fitness : -1.0
ID#101 : time : 265, Operation : delete, fitness : 0.984848484848
ID#102 : time : 72, Operation : replace, fitness : -1.0
ID#103 : time : 90, Operation : replace, fitness : -1.0
ID#104 : time : 28, Operation : random-crossover, fitness : -1.0
ID#105 : time : 24, Operation : random-crossover, fitness : -1.0
ID#106 : time : 66, Operation : replace, fitness : -1.0
ID#107 : time : 636, Operation : insert_after, fitness : 0.984848484848
ID#108 : time : 78, Operation : replace, fitness : -1.0
ID#109 : time : 75, Operation : insert_after, fitness : -1.0
ID#110 : time : 58, Operation : delete, fitness : -1.0
ID#111 : time : 18, Operation : random-crossover, fitness : -1.0
ID#112 : time : 17, Operation : random-crossover, fitness : -1.0
ID#113 : time : 59, Operation : replace, fitness : -1.0
ID#114 : time : 65, Operation : delete, fitness : -1.0
ID#115 : time : 805, Operation : delete, fitness : -1.0
ID#116 : time : 110, Operation : insert_after, fitness : -1.0
ID#117 : time : 86, Operation : replace, fitness : -1.0
ID#118 : time : 664, Operation : random-crossover, fitness : -1.0
ID#119 : time : 677, Operation : random-crossover, fitness : 0.969696969697
ID#120 : time : 59, Operation : delete, fitness : -1.0
ID#121 : time : 77, Operation : insert_before, fitness : -1.0
ID#122 : time : 33, Operation : insert_before, fitness : -1.0
ID#123 : time : 108, Operation : insert_before, fitness : -1.0
ID#124 : time : 0, Operation : insert_after, fitness : -1.0
ID#125 : time : 46, Operation : random-crossover, fitness : 0.969696969697
ID#126 : time : 30, Operation : random-crossover, fitness : 0.969696969697
ID#127 : time : 48, Operation : insert_before, fitness : -1.0
ID#128 : time : 253, Operation : delete, fitness : 0.969696969697
ID#129 : time : 52, Operation : replace, fitness : -1.0
ID#130 : time : 271, Operation : replace, fitness : 0.969696969697
ID#131 : time : 22, Operation : insert_before, fitness : -1.0
ID#132 : time : 65, Operation : random-crossover, fitness : -1.0
ID#133 : time : 65, Operation : random-crossover, fitness : 0.969696969697
ID#134 : time : 65, Operation : replace, fitness : -1.0
ID#135 : time : 63, Operation : insert_before, fitness : -1.0
ID#136 : time : 262, Operation : delete, fitness : 0.969696969697
ID#137 : time : 65, Operation : replace, fitness : -1.0
ID#138 : time : 101, Operation : delete, fitness : -1.0
ID#139 : time : 32, Operation : random-crossover, fitness : -1.0
ID#140 : time : 29, Operation : random-crossover, fitness : -1.0
ID#141 : time : 58, Operation : delete, fitness : -1.0
ID#142 : time : 58, Operation : delete, fitness : -1.0
ID#143 : time : 45, Operation : replace, fitness : -1.0
ID#144 : time : 9, Operation : insert_before, fitness : -1.0
ID#145 : time : 394, Operation : replace, fitness : -1.0
ID#146 : time : 279, Operation : random-crossover, fitness : 0.969696969697
ID#147 : time : 272, Operation : random-crossover, fitness : -1.0
ID#148 : time : 55, Operation : insert_before, fitness : -1.0
ID#149 : time : 28, Operation : delete, fitness : -1.0
ID#150 : time : 0, Operation : insert_before, fitness : -1.0
ID#151 : time : 28, Operation : insert_after, fitness : -1.0
ID#152 : time : 57, Operation : replace, fitness : -1.0
ID#153 : time : 20, Operation : random-crossover, fitness : -1.0
ID#154 : time : 19, Operation : random-crossover, fitness : -1.0
ID#155 : time : 78, Operation : replace, fitness : -1.0
ID#156 : time : 41, Operation : delete, fitness : -1.0
ID#157 : time : 41, Operation : delete, fitness : -1.0
ID#158 : time : 306, Operation : delete, fitness : 0.924242424242
ID#159 : time : 70, Operation : insert_after, fitness : -1.0
ID#160 : time : 28, Operation : random-crossover, fitness : -1.0
ID#161 : time : 9, Operation : random-crossover, fitness : -1.0
ID#162 : time : 295, Operation : delete, fitness : 0.984848484848
ID#163 : time : 29, Operation : delete, fitness : -1.0
ID#164 : time : 260, Operation : delete, fitness : 0.984848484848
ID#165 : time : 0, Operation : insert_after, fitness : -1.0
ID#166 : time : 59, Operation : insert_before, fitness : -1.0
ID#167 : time : 21, Operation : random-crossover, fitness : 0.969696969697
ID#168 : time : 19, Operation : random-crossover, fitness : -1.0
ID#169 : time : 58, Operation : replace, fitness : -1.0
ID#170 : time : 65, Operation : replace, fitness : -1.0
ID#171 : time : 632, Operation : delete, fitness : 0.969696969697
ID#172 : time : 362, Operation : delete, fitness : -1.0
ID#173 : time : 50, Operation : delete, fitness : -1.0
ID#174 : time : 314, Operation : random-crossover, fitness : -1.0
ID#175 : time : 313, Operation : random-crossover, fitness : -1.0
ID#176 : time : 50, Operation : insert_after, fitness : -1.0
ID#177 : time : 57, Operation : insert_after, fitness : -1.0
ID#178 : time : 0, Operation : insert_before, fitness : -1.0
ID#179 : time : 58, Operation : replace, fitness : -1.0
ID#180 : time : 58, Operation : delete, fitness : -1.0
ID#181 : time : 27, Operation : random-crossover, fitness : -1.0
ID#182 : time : 29, Operation : random-crossover, fitness : 0.984848484848
ID#183 : time : 109, Operation : replace, fitness : -1.0
ID#184 : time : 14, Operation : insert_after, fitness : -1.0
ID#185 : time : 240, Operation : replace, fitness : -1.0
ID#186 : time : 79, Operation : insert_after, fitness : -1.0
ID#187 : time : 104, Operation : insert_after, fitness : -1.0
ID#188 : time : 55, Operation : random-crossover, fitness : -1.0
ID#189 : time : 55, Operation : random-crossover, fitness : 0.984848484848
ID#190 : time : 56, Operation : insert_after, fitness : -1.0
ID#191 : time : 132, Operation : insert_after, fitness : -1.0
ID#192 : time : 120, Operation : replace, fitness : -1.0
ID#193 : time : 353, Operation : delete, fitness : 0.969696969697
ID#194 : time : 55, Operation : insert_before, fitness : -1.0
ID#195 : time : 19, Operation : random-crossover, fitness : -1.0
ID#196 : time : 72, Operation : random-crossover, fitness : -1.0
ID#197 : time : 64, Operation : insert_before, fitness : -1.0
ID#198 : time : 63, Operation : delete, fitness : -1.0
ID#199 : time : 62, Operation : delete, fitness : -1.0
ID#200 : time : 53, Operation : insert_before, fitness : -1.0
ID#201 : time : 62, Operation : delete, fitness : -1.0
ID#202 : time : 17, Operation : random-crossover, fitness : -1.0
ID#203 : time : 18, Operation : random-crossover, fitness : -1.0
ID#204 : time : 265, Operation : delete, fitness : 0.984848484848
ID#205 : time : 58, Operation : insert_before, fitness : -1.0
ID#206 : time : 28, Operation : delete, fitness : -1.0
ID#207 : time : 27, Operation : delete, fitness : -1.0
ID#208 : time : 65, Operation : insert_before, fitness : -1.0
ID#209 : time : 18, Operation : random-crossover, fitness : 0.984848484848
ID#210 : time : 9, Operation : random-crossover, fitness : -1.0
ID#211 : time : 362, Operation : delete, fitness : -1.0
ID#212 : time : 63, Operation : delete, fitness : -1.0
ID#213 : time : 302, Operation : delete, fitness : -1.0
ID#214 : time : 252, Operation : replace, fitness : 0.984848484848
ID#215 : time : 63, Operation : insert_after, fitness : -1.0
ID#216 : time : 36, Operation : random-crossover, fitness : -1.0
ID#217 : time : 35, Operation : random-crossover, fitness : -1.0
ID#218 : time : 78, Operation : delete, fitness : -1.0
