### OUTPUT ###
ID#1 : time : 428, Operation : delete, fitness : -1.0
ID#2 : time : 240, Operation : delete, fitness : -1.0
ID#3 : time : 242, Operation : replace, fitness : -1.0
ID#4 : time : 29, Operation : delete, fitness : -1.0
ID#5 : time : 5, Operation : insert_after, fitness : -1.0
ID#6 : time : 1, Operation : insert_after, fitness : -1.0
ID#7 : time : 2, Operation : insert_before, fitness : -1.0
ID#8 : time : 791, Operation : delete, fitness : 0.984848484848
ID#9 : time : 103, Operation : delete, fitness : -1.0
ID#10 : time : 109, Operation : delete, fitness : -1.0
ID#11 : time : 206, Operation : insert_before, fitness : -1.0
ID#12 : time : 1543, Operation : delete, fitness : 0.939393939394
ID#13 : time : 933, Operation : insert_after, fitness : -1.0
ID#14 : time : 128, Operation : insert_after, fitness : -1.0
ID#15 : time : 817, Operation : insert_after, fitness : -1.0
ID#16 : time : 26, Operation : insert_after, fitness : -1.0
ID#17 : time : 107, Operation : replace, fitness : -1.0
ID#18 : time : 1657, Operation : insert_before, fitness : -1.0
ID#19 : time : 98, Operation : replace, fitness : -1.0
ID#20 : time : 1677, Operation : insert_after, fitness : -1.0
ID#21 : time : 120, Operation : delete, fitness : -1.0
ID#22 : time : 514, Operation : replace, fitness : 0.969696969697
ID#23 : time : 15, Operation : delete, fitness : -1.0
ID#24 : time : 83, Operation : insert_before, fitness : -1.0
ID#25 : time : 0, Operation : insert_after, fitness : -1.0
ID#26 : time : 57, Operation : delete, fitness : -1.0
ID#27 : time : 703, Operation : replace, fitness : -1.0
ID#28 : time : 33, Operation : insert_after, fitness : -1.0
ID#29 : time : 102, Operation : replace, fitness : -1.0
ID#30 : time : 131, Operation : replace, fitness : -1.0
ID#31 : time : 499, Operation : delete, fitness : 0.969696969697
ID#32 : time : 404, Operation : delete, fitness : 0.969696969697
ID#33 : time : 1, Operation : insert_before, fitness : -1.0
ID#34 : time : 20, Operation : insert_after, fitness : -1.0
ID#35 : time : 17, Operation : insert_before, fitness : -1.0
ID#36 : time : 73, Operation : delete, fitness : -1.0
ID#37 : time : 92, Operation : delete, fitness : -1.0
ID#38 : time : 73, Operation : insert_before, fitness : -1.0
ID#39 : time : 108, Operation : insert_before, fitness : -1.0
ID#40 : time : 628, Operation : delete, fitness : -1.0
ID#41 : time : 939, Operation : random-crossover, fitness : -1.0
ID#42 : time : 920, Operation : random-crossover, fitness : -1.0
ID#43 : time : 94, Operation : insert_before, fitness : -1.0
ID#44 : time : 20, Operation : insert_before, fitness : -1.0
ID#45 : time : 133, Operation : insert_after, fitness : -1.0
ID#46 : time : 99, Operation : replace, fitness : -1.0
ID#47 : time : 413, Operation : delete, fitness : 0.969696969697
ID#48 : time : 33, Operation : random-crossover, fitness : -1.0
ID#49 : time : 29, Operation : random-crossover, fitness : -1.0
ID#50 : time : 17, Operation : insert_after, fitness : -1.0
ID#51 : time : 96, Operation : insert_after, fitness : -1.0
ID#52 : time : 113, Operation : insert_before, fitness : -1.0
ID#53 : time : 225, Operation : replace, fitness : -1.0
ID#54 : time : 141, Operation : insert_before, fitness : -1.0
ID#55 : time : 445, Operation : random-crossover, fitness : 0.969696969697
ID#56 : time : 445, Operation : random-crossover, fitness : -1.0
ID#57 : time : 88, Operation : replace, fitness : -1.0
ID#58 : time : 564, Operation : insert_after, fitness : 0.969696969697
ID#59 : time : 392, Operation : delete, fitness : 0.969696969697
ID#60 : time : 48, Operation : delete, fitness : -1.0
ID#61 : time : 30, Operation : insert_before, fitness : -1.0
ID#62 : time : 459, Operation : random-crossover, fitness : -1.0
ID#63 : time : 475, Operation : random-crossover, fitness : -1.0
ID#64 : time : 162, Operation : insert_before, fitness : -1.0
ID#65 : time : 144, Operation : delete, fitness : -1.0
ID#66 : time : 14, Operation : delete, fitness : -1.0
ID#67 : time : 0, Operation : insert_before, fitness : -1.0
ID#68 : time : 13, Operation : delete, fitness : -1.0
ID#69 : time : 432, Operation : random-crossover, fitness : -1.0
ID#70 : time : 437, Operation : random-crossover, fitness : 0.969696969697
ID#71 : time : 90, Operation : insert_after, fitness : -1.0
ID#72 : time : 248, Operation : delete, fitness : -1.0
ID#73 : time : 116, Operation : replace, fitness : -1.0
ID#74 : time : 107, Operation : replace, fitness : -1.0
ID#75 : time : 103, Operation : delete, fitness : -1.0
ID#76 : time : 15, Operation : random-crossover, fitness : -1.0
ID#77 : time : 46, Operation : random-crossover, fitness : -1.0
ID#78 : time : 123, Operation : insert_after, fitness : -1.0
ID#79 : time : 81, Operation : replace, fitness : -1.0
ID#80 : time : 110, Operation : delete, fitness : -1.0
ID#81 : time : 453, Operation : delete, fitness : 0.924242424242
ID#82 : time : 55, Operation : insert_before, fitness : -1.0
ID#83 : time : 18, Operation : random-crossover, fitness : -1.0
ID#84 : time : 33, Operation : random-crossover, fitness : 0.969696969697
ID#85 : time : 101, Operation : replace, fitness : -1.0
ID#86 : time : 182, Operation : replace, fitness : -1.0
ID#87 : time : 101, Operation : insert_before, fitness : -1.0
ID#88 : time : 33, Operation : insert_before, fitness : -1.0
ID#89 : time : 329, Operation : replace, fitness : -1.0
ID#90 : time : 44, Operation : random-crossover, fitness : 0.969696969697
ID#91 : time : 86, Operation : random-crossover, fitness : -1.0
ID#92 : time : 471, Operation : replace, fitness : 0.924242424242
ID#93 : time : 521, Operation : delete, fitness : 0.924242424242
ID#94 : time : 96, Operation : replace, fitness : -1.0
ID#95 : time : 16, Operation : delete, fitness : -1.0
ID#96 : time : 104, Operation : insert_before, fitness : -1.0
ID#97 : time : 62, Operation : random-crossover, fitness : -1.0
ID#98 : time : 50, Operation : random-crossover, fitness : -1.0
ID#99 : time : 110, Operation : insert_before, fitness : -1.0
ID#100 : time : 86, Operation : replace, fitness : -1.0
ID#101 : time : 403, Operation : delete, fitness : 0.984848484848
ID#102 : time : 110, Operation : replace, fitness : -1.0
ID#103 : time : 125, Operation : replace, fitness : -1.0
ID#104 : time : 35, Operation : random-crossover, fitness : -1.0
ID#105 : time : 29, Operation : random-crossover, fitness : -1.0
ID#106 : time : 98, Operation : replace, fitness : -1.0
ID#107 : time : 940, Operation : insert_after, fitness : 0.984848484848
ID#108 : time : 134, Operation : replace, fitness : -1.0
ID#109 : time : 137, Operation : insert_after, fitness : -1.0
ID#110 : time : 93, Operation : delete, fitness : -1.0
ID#111 : time : 32, Operation : random-crossover, fitness : -1.0
ID#112 : time : 33, Operation : random-crossover, fitness : -1.0
ID#113 : time : 113, Operation : replace, fitness : -1.0
ID#114 : time : 94, Operation : delete, fitness : -1.0
ID#115 : time : 1167, Operation : delete, fitness : -1.0
ID#116 : time : 144, Operation : insert_after, fitness : -1.0
ID#117 : time : 106, Operation : replace, fitness : -1.0
ID#118 : time : 976, Operation : random-crossover, fitness : -1.0
