### OUTPUT ###
ID#111 : time : 25, Operation : random-crossover, fitness : -1.0
ID#112 : time : 25, Operation : random-crossover, fitness : -1.0
ID#113 : time : 79, Operation : replace, fitness : -1.0
ID#114 : time : 76, Operation : delete, fitness : -1.0
ID#115 : time : 1065, Operation : delete, fitness : -1.0
ID#116 : time : 119, Operation : insert_after, fitness : -1.0
ID#117 : time : 83, Operation : replace, fitness : -1.0
ID#118 : time : 876, Operation : random-crossover, fitness : -1.0
ID#119 : time : 892, Operation : random-crossover, fitness : 0.969696969697
ID#120 : time : 56, Operation : delete, fitness : -1.0
ID#121 : time : 64, Operation : insert_before, fitness : -1.0
ID#122 : time : 27, Operation : insert_before, fitness : -1.0
ID#123 : time : 96, Operation : insert_before, fitness : -1.0
ID#124 : time : 0, Operation : insert_after, fitness : -1.0
ID#125 : time : 42, Operation : random-crossover, fitness : 0.969696969697
ID#126 : time : 30, Operation : random-crossover, fitness : 0.969696969697
ID#127 : time : 73, Operation : insert_before, fitness : -1.0
ID#128 : time : 352, Operation : delete, fitness : 0.969696969697
ID#129 : time : 88, Operation : replace, fitness : -1.0
ID#130 : time : 474, Operation : replace, fitness : 0.969696969697
ID#131 : time : 33, Operation : insert_before, fitness : -1.0
ID#132 : time : 69, Operation : random-crossover, fitness : -1.0
ID#133 : time : 68, Operation : random-crossover, fitness : 0.969696969697
ID#134 : time : 108, Operation : replace, fitness : -1.0
ID#135 : time : 94, Operation : insert_before, fitness : -1.0
ID#136 : time : 435, Operation : delete, fitness : 0.969696969697
ID#137 : time : 78, Operation : replace, fitness : -1.0
ID#138 : time : 134, Operation : delete, fitness : -1.0
ID#139 : time : 41, Operation : random-crossover, fitness : -1.0
ID#140 : time : 42, Operation : random-crossover, fitness : -1.0
ID#141 : time : 86, Operation : delete, fitness : -1.0
ID#142 : time : 84, Operation : delete, fitness : -1.0
ID#143 : time : 65, Operation : replace, fitness : -1.0
ID#144 : time : 14, Operation : insert_before, fitness : -1.0
ID#145 : time : 636, Operation : replace, fitness : -1.0
ID#146 : time : 477, Operation : random-crossover, fitness : 0.969696969697
ID#147 : time : 450, Operation : random-crossover, fitness : -1.0
ID#148 : time : 86, Operation : insert_before, fitness : -1.0
ID#149 : time : 45, Operation : delete, fitness : -1.0
ID#150 : time : 0, Operation : insert_before, fitness : -1.0
ID#151 : time : 45, Operation : insert_after, fitness : -1.0
ID#152 : time : 82, Operation : replace, fitness : -1.0
ID#153 : time : 28, Operation : random-crossover, fitness : -1.0
ID#154 : time : 29, Operation : random-crossover, fitness : -1.0
ID#155 : time : 113, Operation : replace, fitness : -1.0
ID#156 : time : 63, Operation : delete, fitness : -1.0
ID#157 : time : 71, Operation : delete, fitness : -1.0
ID#158 : time : 434, Operation : delete, fitness : 0.924242424242
ID#159 : time : 115, Operation : insert_after, fitness : -1.0
ID#160 : time : 48, Operation : random-crossover, fitness : -1.0
ID#161 : time : 17, Operation : random-crossover, fitness : -1.0
ID#162 : time : 403, Operation : delete, fitness : 0.984848484848
ID#163 : time : 46, Operation : delete, fitness : -1.0
ID#164 : time : 377, Operation : delete, fitness : 0.984848484848
ID#165 : time : 0, Operation : insert_after, fitness : -1.0
ID#166 : time : 91, Operation : insert_before, fitness : -1.0
ID#167 : time : 27, Operation : random-crossover, fitness : 0.969696969697
ID#168 : time : 32, Operation : random-crossover, fitness : -1.0
ID#169 : time : 156, Operation : replace, fitness : -1.0
ID#170 : time : 92, Operation : replace, fitness : -1.0
ID#171 : time : 887, Operation : delete, fitness : 0.969696969697
ID#172 : time : 495, Operation : delete, fitness : -1.0
ID#173 : time : 62, Operation : delete, fitness : -1.0
ID#174 : time : 436, Operation : random-crossover, fitness : -1.0
ID#175 : time : 429, Operation : random-crossover, fitness : -1.0
ID#176 : time : 70, Operation : insert_after, fitness : -1.0
ID#177 : time : 96, Operation : insert_after, fitness : -1.0
ID#178 : time : 0, Operation : insert_before, fitness : -1.0
ID#179 : time : 94, Operation : replace, fitness : -1.0
ID#180 : time : 123, Operation : delete, fitness : -1.0
ID#181 : time : 42, Operation : random-crossover, fitness : -1.0
ID#182 : time : 39, Operation : random-crossover, fitness : 0.984848484848
ID#183 : time : 116, Operation : replace, fitness : -1.0
ID#184 : time : 16, Operation : insert_after, fitness : -1.0
ID#185 : time : 265, Operation : replace, fitness : -1.0
ID#186 : time : 127, Operation : insert_after, fitness : -1.0
ID#187 : time : 128, Operation : insert_after, fitness : -1.0
ID#188 : time : 80, Operation : random-crossover, fitness : -1.0
ID#189 : time : 74, Operation : random-crossover, fitness : 0.984848484848
ID#190 : time : 84, Operation : insert_after, fitness : -1.0
ID#191 : time : 193, Operation : insert_after, fitness : -1.0
ID#192 : time : 168, Operation : replace, fitness : -1.0
ID#193 : time : 478, Operation : delete, fitness : 0.969696969697
ID#194 : time : 86, Operation : insert_before, fitness : -1.0
ID#195 : time : 30, Operation : random-crossover, fitness : -1.0
ID#196 : time : 104, Operation : random-crossover, fitness : -1.0
ID#197 : time : 108, Operation : insert_before, fitness : -1.0
ID#198 : time : 114, Operation : delete, fitness : -1.0
ID#199 : time : 96, Operation : delete, fitness : -1.0
ID#200 : time : 82, Operation : insert_before, fitness : -1.0
ID#201 : time : 126, Operation : delete, fitness : -1.0
ID#202 : time : 33, Operation : random-crossover, fitness : -1.0
ID#203 : time : 34, Operation : random-crossover, fitness : -1.0
ID#204 : time : 570, Operation : delete, fitness : 0.984848484848
ID#205 : time : 102, Operation : insert_before, fitness : -1.0
ID#206 : time : 56, Operation : delete, fitness : -1.0
ID#207 : time : 50, Operation : delete, fitness : -1.0
ID#208 : time : 133, Operation : insert_before, fitness : -1.0
ID#209 : time : 33, Operation : random-crossover, fitness : 0.984848484848
ID#210 : time : 16, Operation : random-crossover, fitness : -1.0
ID#211 : time : 726, Operation : delete, fitness : -1.0
ID#212 : time : 114, Operation : delete, fitness : -1.0
ID#213 : time : 644, Operation : delete, fitness : -1.0
ID#214 : time : 698, Operation : replace, fitness : 0.984848484848
ID#215 : time : 97, Operation : insert_after, fitness : -1.0
ID#216 : time : 59, Operation : random-crossover, fitness : -1.0
ID#217 : time : 59, Operation : random-crossover, fitness : -1.0
ID#218 : time : 107, Operation : delete, fitness : -1.0
ID#219 : time : 116, Operation : replace, fitness : -1.0
ID#220 : time : 139, Operation : replace, fitness : -1.0
ID#221 : time : 152, Operation : replace, fitness : -1.0
ID#222 : time : 874, Operation : replace, fitness : -1.0
ID#223 : time : 714, Operation : random-crossover, fitness : -1.0
ID#224 : time : 30, Operation : random-crossover, fitness : -1.0
ID#225 : time : 83, Operation : delete, fitness : -1.0
ID#226 : time : 394, Operation : delete, fitness : 0.969696969697
ID#227 : time : 14, Operation : insert_after, fitness : -1.0
ID#228 : time : 42, Operation : insert_after, fitness : -1.0
ID#229 : time : 108, Operation : insert_after, fitness : -1.0
ID#230 : time : 29, Operation : random-crossover, fitness : -1.0
ID#231 : time : 22, Operation : random-crossover, fitness : -1.0
ID#232 : time : 34, Operation : delete, fitness : -1.0
ID#233 : time : 98, Operation : replace, fitness : -1.0
ID#234 : time : 98, Operation : insert_after, fitness : -1.0
ID#235 : time : 98, Operation : delete, fitness : -1.0
ID#236 : time : 145, Operation : insert_after, fitness : -1.0
ID#237 : time : 38, Operation : random-crossover, fitness : -1.0
ID#238 : time : 15, Operation : random-crossover, fitness : -1.0
ID#239 : time : 129, Operation : insert_before, fitness : -1.0
ID#240 : time : 94, Operation : replace, fitness : -1.0
ID#241 : time : 126, Operation : replace, fitness : -1.0
ID#242 : time : 110, Operation : replace, fitness : -1.0
ID#243 : time : 112, Operation : replace, fitness : -1.0
ID#244 : time : 42, Operation : random-crossover, fitness : -1.0
ID#245 : time : 30, Operation : random-crossover, fitness : -1.0
ID#246 : time : 116, Operation : delete, fitness : -1.0
ID#247 : time : 486, Operation : delete, fitness : 0.984848484848
ID#248 : time : 94, Operation : replace, fitness : -1.0
ID#249 : time : 108, Operation : insert_before, fitness : -1.0
ID#250 : time : 28, Operation : insert_after, fitness : -1.0
ID#251 : time : 32, Operation : random-crossover, fitness : 0.984848484848
ID#252 : time : 29, Operation : random-crossover, fitness : -1.0
ID#253 : time : 98, Operation : insert_after, fitness : -1.0
ID#254 : time : 226, Operation : replace, fitness : -1.0
ID#255 : time : 551, Operation : delete, fitness : 0.969696969697
ID#256 : time : 671, Operation : replace, fitness : -1.0
ID#257 : time : 600, Operation : delete, fitness : -1.0
ID#258 : time : 559, Operation : random-crossover, fitness : 0.984848484848
ID#259 : time : 29, Operation : random-crossover, fitness : 0.984848484848
ID#260 : time : 106, Operation : delete, fitness : -1.0
ID#261 : time : 203, Operation : delete, fitness : -1.0
ID#262 : time : 60, Operation : insert_after, fitness : -1.0
ID#263 : time : 383, Operation : delete, fitness : 0.969696969697
ID#264 : time : 124, Operation : insert_after, fitness : -1.0
ID#265 : time : 29, Operation : random-crossover, fitness : 0.984848484848
ID#266 : time : 15, Operation : random-crossover, fitness : -1.0
ID#267 : time : 96, Operation : insert_before, fitness : -1.0
ID#268 : time : 202, Operation : delete, fitness : -1.0
ID#269 : time : 41, Operation : insert_after, fitness : -1.0
ID#270 : time : 401, Operation : delete, fitness : 0.969696969697
ID#271 : time : 134, Operation : insert_after, fitness : -1.0
ID#272 : time : 58, Operation : random-crossover, fitness : -1.0
ID#273 : time : 27, Operation : random-crossover, fitness : -1.0
ID#274 : time : 50, Operation : delete, fitness : -1.0
ID#275 : time : 107, Operation : insert_before, fitness : -1.0
ID#276 : time : 90, Operation : replace, fitness : -1.0
ID#277 : time : 471, Operation : delete, fitness : 0.939393939394
ID#278 : time : 97, Operation : replace, fitness : -1.0
ID#279 : time : 123, Operation : random-crossover, fitness : 0.984848484848
ID#280 : time : 27, Operation : random-crossover, fitness : -1.0
ID#281 : time : 136, Operation : replace, fitness : -1.0
ID#282 : time : 382, Operation : delete, fitness : 0.969696969697
ID#283 : time : 309, Operation : insert_before, fitness : -1.0
ID#284 : time : 91, Operation : insert_after, fitness : -1.0
ID#285 : time : 121, Operation : replace, fitness : -1.0
ID#286 : time : 33, Operation : random-crossover, fitness : -1.0
ID#287 : time : 36, Operation : random-crossover, fitness : -1.0
ID#288 : time : 90, Operation : replace, fitness : -1.0
ID#289 : time : 42, Operation : insert_before, fitness : -1.0
ID#290 : time : 43, Operation : insert_before, fitness : -1.0
ID#291 : time : 108, Operation : replace, fitness : -1.0
ID#292 : time : 41, Operation : delete, fitness : -1.0
ID#293 : time : 41, Operation : random-crossover, fitness : -1.0
ID#294 : time : 40, Operation : random-crossover, fitness : 0.984848484848
ID#295 : time : 27, Operation : delete, fitness : -1.0
ID#296 : time : 46, Operation : insert_before, fitness : -1.0
ID#297 : time : 98, Operation : replace, fitness : -1.0
ID#298 : time : 174, Operation : delete, fitness : -1.0
ID#299 : time : 87, Operation : insert_before, fitness : -1.0
ID#300 : time : 57, Operation : random-crossover, fitness : -1.0
ID#301 : time : 28, Operation : random-crossover, fitness : -1.0
ID#302 : time : 93, Operation : replace, fitness : -1.0
ID#303 : time : 56, Operation : delete, fitness : -1.0
ID#304 : time : 108, Operation : replace, fitness : -1.0
ID#305 : time : 42, Operation : insert_before, fitness : -1.0
ID#306 : time : 109, Operation : replace, fitness : -1.0
ID#307 : time : 15, Operation : random-crossover, fitness : -1.0
ID#308 : time : 28, Operation : random-crossover, fitness : -1.0
ID#309 : time : 118, Operation : insert_before, fitness : -1.0
ID#310 : time : 46, Operation : delete, fitness : -1.0
ID#311 : time : 52, Operation : replace, fitness : -1.0
ID#312 : time : 91, Operation : insert_before, fitness : -1.0
ID#313 : time : 54, Operation : delete, fitness : -1.0
ID#314 : time : 14, Operation : random-crossover, fitness : -1.0
ID#315 : time : 59, Operation : random-crossover, fitness : -1.0
ID#316 : time : 125, Operation : replace, fitness : -1.0
ID#317 : time : 384, Operation : delete, fitness : 0.969696969697
ID#318 : time : 385, Operation : delete, fitness : 0.984848484848
ID#319 : time : 13, Operation : insert_before, fitness : -1.0
ID#320 : time : 508, Operation : delete, fitness : 0.969696969697
ID#321 : time : 15, Operation : random-crossover, fitness : -1.0
ID#322 : time : 14, Operation : random-crossover, fitness : -1.0
ID#323 : time : 93, Operation : replace, fitness : -1.0
ID#324 : time : 45, Operation : insert_after, fitness : -1.0
ID#325 : time : 128, Operation : insert_before, fitness : -1.0
ID#326 : time : 44, Operation : delete, fitness : -1.0
ID#327 : time : 120, Operation : replace, fitness : -1.0
ID#328 : time : 27, Operation : random-crossover, fitness : -1.0
ID#329 : time : 26, Operation : random-crossover, fitness : -1.0
ID#330 : time : 54, Operation : delete, fitness : -1.0
ID#331 : time : 94, Operation : replace, fitness : -1.0
ID#332 : time : 42, Operation : insert_before, fitness : -1.0
ID#333 : time : 126, Operation : insert_after, fitness : -1.0
ID#334 : time : 107, Operation : replace, fitness : -1.0
ID#335 : time : 47, Operation : random-crossover, fitness : 0.984848484848
ID#336 : time : 29, Operation : random-crossover, fitness : -1.0
ID#337 : time : 93, Operation : replace, fitness : -1.0
ID#338 : time : 269, Operation : insert_before, fitness : -1.0
ID#339 : time : 49, Operation : insert_before, fitness : -1.0
ID#340 : time : 41, Operation : delete, fitness : -1.0
ID#341 : time : 54, Operation : insert_after, fitness : -1.0
ID#342 : time : 33, Operation : random-crossover, fitness : 0.984848484848
ID#343 : time : 29, Operation : random-crossover, fitness : -1.0
