### OUTPUT ###
ID#1 : time : 501, Operation : delete, fitness : -1.0
ID#2 : time : 225, Operation : delete, fitness : -1.0
ID#3 : time : 224, Operation : replace, fitness : -1.0
ID#4 : time : 22, Operation : delete, fitness : -1.0
ID#5 : time : 2, Operation : insert_after, fitness : -1.0
ID#6 : time : 1, Operation : insert_after, fitness : -1.0
ID#7 : time : 1, Operation : insert_before, fitness : -1.0
ID#8 : time : 762, Operation : delete, fitness : 0.984848484848
ID#9 : time : 112, Operation : delete, fitness : -1.0
ID#10 : time : 126, Operation : delete, fitness : -1.0
ID#11 : time : 134, Operation : insert_before, fitness : -1.0
ID#12 : time : 1464, Operation : delete, fitness : 0.939393939394
ID#13 : time : 911, Operation : insert_after, fitness : -1.0
ID#14 : time : 140, Operation : insert_after, fitness : -1.0
ID#15 : time : 785, Operation : insert_after, fitness : -1.0
ID#16 : time : 18, Operation : insert_after, fitness : -1.0
ID#17 : time : 111, Operation : replace, fitness : -1.0
ID#18 : time : 1602, Operation : insert_before, fitness : -1.0
ID#19 : time : 115, Operation : replace, fitness : -1.0
ID#20 : time : 1654, Operation : insert_after, fitness : -1.0
ID#21 : time : 127, Operation : delete, fitness : -1.0
ID#22 : time : 522, Operation : replace, fitness : 0.969696969697
ID#23 : time : 14, Operation : delete, fitness : -1.0
ID#24 : time : 74, Operation : insert_before, fitness : -1.0
ID#25 : time : 0, Operation : insert_after, fitness : -1.0
ID#26 : time : 54, Operation : delete, fitness : -1.0
ID#27 : time : 714, Operation : replace, fitness : -1.0
ID#28 : time : 34, Operation : insert_after, fitness : -1.0
ID#29 : time : 110, Operation : replace, fitness : -1.0
ID#30 : time : 110, Operation : replace, fitness : -1.0
ID#31 : time : 564, Operation : delete, fitness : 0.969696969697
ID#32 : time : 610, Operation : delete, fitness : 0.969696969697
ID#33 : time : 1, Operation : insert_before, fitness : -1.0
ID#34 : time : 19, Operation : insert_after, fitness : -1.0
ID#35 : time : 18, Operation : insert_before, fitness : -1.0
ID#36 : time : 18, Operation : delete, fitness : -1.0
ID#37 : time : 102, Operation : delete, fitness : -1.0
ID#38 : time : 126, Operation : insert_before, fitness : -1.0
ID#39 : time : 171, Operation : insert_before, fitness : -1.0
ID#40 : time : 759, Operation : delete, fitness : -1.0
ID#41 : time : 1216, Operation : random-crossover, fitness : -1.0
ID#42 : time : 1197, Operation : random-crossover, fitness : -1.0
ID#43 : time : 89, Operation : insert_before, fitness : -1.0
ID#44 : time : 19, Operation : insert_before, fitness : -1.0
ID#45 : time : 160, Operation : insert_after, fitness : -1.0
ID#46 : time : 130, Operation : replace, fitness : -1.0
ID#47 : time : 1120, Operation : delete, fitness : 0.969696969697
ID#48 : time : 38, Operation : random-crossover, fitness : -1.0
ID#49 : time : 40, Operation : random-crossover, fitness : -1.0
ID#50 : time : 29, Operation : insert_after, fitness : -1.0
ID#51 : time : 180, Operation : insert_after, fitness : -1.0
ID#52 : time : 136, Operation : insert_before, fitness : -1.0
ID#53 : time : 123, Operation : replace, fitness : -1.0
ID#54 : time : 187, Operation : insert_before, fitness : -1.0
ID#55 : time : 1173, Operation : random-crossover, fitness : 0.969696969697
ID#56 : time : 1176, Operation : random-crossover, fitness : -1.0
ID#57 : time : 178, Operation : replace, fitness : -1.0
ID#58 : time : 1220, Operation : insert_after, fitness : 0.969696969697
ID#59 : time : 1206, Operation : delete, fitness : 0.969696969697
ID#60 : time : 49, Operation : delete, fitness : -1.0
ID#61 : time : 30, Operation : insert_before, fitness : -1.0
ID#62 : time : 1190, Operation : random-crossover, fitness : -1.0
ID#63 : time : 1205, Operation : random-crossover, fitness : -1.0
ID#64 : time : 142, Operation : insert_before, fitness : -1.0
ID#65 : time : 134, Operation : delete, fitness : -1.0
ID#66 : time : 16, Operation : delete, fitness : -1.0
ID#67 : time : 0, Operation : insert_before, fitness : -1.0
ID#68 : time : 17, Operation : delete, fitness : -1.0
ID#69 : time : 1245, Operation : random-crossover, fitness : -1.0
ID#70 : time : 1261, Operation : random-crossover, fitness : 0.969696969697
ID#71 : time : 89, Operation : insert_after, fitness : -1.0
ID#72 : time : 214, Operation : delete, fitness : -1.0
ID#73 : time : 108, Operation : replace, fitness : -1.0
ID#74 : time : 118, Operation : replace, fitness : -1.0
ID#75 : time : 99, Operation : delete, fitness : -1.0
ID#76 : time : 16, Operation : random-crossover, fitness : -1.0
ID#77 : time : 57, Operation : random-crossover, fitness : -1.0
ID#78 : time : 121, Operation : insert_after, fitness : -1.0
ID#79 : time : 84, Operation : replace, fitness : -1.0
ID#80 : time : 127, Operation : delete, fitness : -1.0
ID#81 : time : 529, Operation : delete, fitness : 0.924242424242
ID#82 : time : 47, Operation : insert_before, fitness : -1.0
ID#83 : time : 13, Operation : random-crossover, fitness : -1.0
ID#84 : time : 27, Operation : random-crossover, fitness : 0.969696969697
ID#85 : time : 108, Operation : replace, fitness : -1.0
ID#86 : time : 163, Operation : replace, fitness : -1.0
ID#87 : time : 122, Operation : insert_before, fitness : -1.0
ID#88 : time : 48, Operation : insert_before, fitness : -1.0
ID#89 : time : 409, Operation : replace, fitness : -1.0
ID#90 : time : 69, Operation : random-crossover, fitness : 0.969696969697
ID#91 : time : 89, Operation : random-crossover, fitness : -1.0
ID#92 : time : 475, Operation : replace, fitness : 0.924242424242
ID#93 : time : 418, Operation : delete, fitness : 0.924242424242
ID#94 : time : 101, Operation : replace, fitness : -1.0
ID#95 : time : 16, Operation : delete, fitness : -1.0
ID#96 : time : 87, Operation : insert_before, fitness : -1.0
ID#97 : time : 51, Operation : random-crossover, fitness : -1.0
ID#98 : time : 31, Operation : random-crossover, fitness : -1.0
ID#99 : time : 107, Operation : insert_before, fitness : -1.0
ID#100 : time : 72, Operation : replace, fitness : -1.0
ID#101 : time : 441, Operation : delete, fitness : 0.984848484848
ID#102 : time : 102, Operation : replace, fitness : -1.0
ID#103 : time : 162, Operation : replace, fitness : -1.0
ID#104 : time : 36, Operation : random-crossover, fitness : -1.0
ID#105 : time : 29, Operation : random-crossover, fitness : -1.0
ID#106 : time : 123, Operation : replace, fitness : -1.0
ID#107 : time : 925, Operation : insert_after, fitness : 0.984848484848
ID#108 : time : 124, Operation : replace, fitness : -1.0
ID#109 : time : 139, Operation : insert_after, fitness : -1.0
ID#110 : time : 93, Operation : delete, fitness : -1.0
ID#111 : time : 34, Operation : random-crossover, fitness : -1.0
ID#112 : time : 27, Operation : random-crossover, fitness : -1.0
ID#113 : time : 85, Operation : replace, fitness : -1.0
ID#114 : time : 89, Operation : delete, fitness : -1.0
ID#115 : time : 1123, Operation : delete, fitness : -1.0
