### OUTPUT ###
ID#1 : time : 455, Operation : delete, fitness : -1.0
ID#2 : time : 243, Operation : delete, fitness : -1.0
ID#3 : time : 234, Operation : replace, fitness : -1.0
ID#4 : time : 20, Operation : delete, fitness : -1.0
ID#5 : time : 6, Operation : insert_after, fitness : -1.0
ID#6 : time : 1, Operation : insert_after, fitness : -1.0
ID#7 : time : 1, Operation : insert_before, fitness : -1.0
ID#8 : time : 731, Operation : delete, fitness : 0.984848484848
ID#9 : time : 125, Operation : delete, fitness : -1.0
ID#10 : time : 144, Operation : delete, fitness : -1.0
ID#11 : time : 123, Operation : insert_before, fitness : -1.0
ID#12 : time : 1490, Operation : delete, fitness : 0.939393939394
ID#13 : time : 888, Operation : insert_after, fitness : -1.0
ID#14 : time : 141, Operation : insert_after, fitness : -1.0
ID#15 : time : 750, Operation : insert_after, fitness : -1.0
ID#16 : time : 22, Operation : insert_after, fitness : -1.0
ID#17 : time : 152, Operation : replace, fitness : -1.0
ID#18 : time : 1642, Operation : insert_before, fitness : -1.0
ID#19 : time : 119, Operation : replace, fitness : -1.0
ID#20 : time : 1635, Operation : insert_after, fitness : -1.0
ID#21 : time : 130, Operation : delete, fitness : -1.0
ID#22 : time : 599, Operation : replace, fitness : 0.969696969697
ID#23 : time : 14, Operation : delete, fitness : -1.0
ID#24 : time : 86, Operation : insert_before, fitness : -1.0
ID#25 : time : 1, Operation : insert_after, fitness : -1.0
ID#26 : time : 56, Operation : delete, fitness : -1.0
ID#27 : time : 798, Operation : replace, fitness : -1.0
ID#28 : time : 39, Operation : insert_after, fitness : -1.0
ID#29 : time : 100, Operation : replace, fitness : -1.0
ID#30 : time : 128, Operation : replace, fitness : -1.0
ID#31 : time : 534, Operation : delete, fitness : 0.969696969697
ID#32 : time : 726, Operation : delete, fitness : 0.969696969697
ID#33 : time : 1, Operation : insert_before, fitness : -1.0
ID#34 : time : 19, Operation : insert_after, fitness : -1.0
ID#35 : time : 17, Operation : insert_before, fitness : -1.0
ID#36 : time : 16, Operation : delete, fitness : -1.0
ID#37 : time : 117, Operation : delete, fitness : -1.0
ID#38 : time : 102, Operation : insert_before, fitness : -1.0
ID#39 : time : 109, Operation : insert_before, fitness : -1.0
ID#40 : time : 706, Operation : delete, fitness : -1.0
ID#41 : time : 1306, Operation : random-crossover, fitness : -1.0
ID#42 : time : 1284, Operation : random-crossover, fitness : -1.0
ID#43 : time : 100, Operation : insert_before, fitness : -1.0
ID#44 : time : 20, Operation : insert_before, fitness : -1.0
ID#45 : time : 127, Operation : insert_after, fitness : -1.0
ID#46 : time : 113, Operation : replace, fitness : -1.0
ID#47 : time : 577, Operation : delete, fitness : 0.969696969697
ID#48 : time : 35, Operation : random-crossover, fitness : -1.0
ID#49 : time : 35, Operation : random-crossover, fitness : -1.0
ID#50 : time : 21, Operation : insert_after, fitness : -1.0
ID#51 : time : 126, Operation : insert_after, fitness : -1.0
ID#52 : time : 103, Operation : insert_before, fitness : -1.0
ID#53 : time : 141, Operation : replace, fitness : -1.0
ID#54 : time : 137, Operation : insert_before, fitness : -1.0
ID#55 : time : 613, Operation : random-crossover, fitness : 0.969696969697
ID#56 : time : 615, Operation : random-crossover, fitness : -1.0
ID#57 : time : 104, Operation : replace, fitness : -1.0
ID#58 : time : 660, Operation : insert_after, fitness : 0.969696969697
ID#59 : time : 627, Operation : delete, fitness : 0.969696969697
ID#60 : time : 46, Operation : delete, fitness : -1.0
ID#61 : time : 34, Operation : insert_before, fitness : -1.0
ID#62 : time : 629, Operation : random-crossover, fitness : -1.0
ID#63 : time : 643, Operation : random-crossover, fitness : -1.0
ID#64 : time : 111, Operation : insert_before, fitness : -1.0
ID#65 : time : 107, Operation : delete, fitness : -1.0
ID#66 : time : 14, Operation : delete, fitness : -1.0
ID#67 : time : 0, Operation : insert_before, fitness : -1.0
ID#68 : time : 13, Operation : delete, fitness : -1.0
ID#69 : time : 662, Operation : random-crossover, fitness : -1.0
ID#70 : time : 677, Operation : random-crossover, fitness : 0.969696969697
ID#71 : time : 84, Operation : insert_after, fitness : -1.0
ID#72 : time : 211, Operation : delete, fitness : -1.0
ID#73 : time : 109, Operation : replace, fitness : -1.0
ID#74 : time : 156, Operation : replace, fitness : -1.0
ID#75 : time : 114, Operation : delete, fitness : -1.0
ID#76 : time : 17, Operation : random-crossover, fitness : -1.0
ID#77 : time : 44, Operation : random-crossover, fitness : -1.0
ID#78 : time : 119, Operation : insert_after, fitness : -1.0
ID#79 : time : 81, Operation : replace, fitness : -1.0
ID#80 : time : 83, Operation : delete, fitness : -1.0
ID#81 : time : 391, Operation : delete, fitness : 0.924242424242
ID#82 : time : 42, Operation : insert_before, fitness : -1.0
ID#83 : time : 13, Operation : random-crossover, fitness : -1.0
ID#84 : time : 27, Operation : random-crossover, fitness : 0.969696969697
ID#85 : time : 95, Operation : replace, fitness : -1.0
